comprehension,n. 理解；包含
fringe,"n. 边缘；穗；刘海
adj. 边缘的；附加的
vt. 加穗于"
fusion,n. 融合；熔化；熔接；融合物； 核聚变
gamble,"n. 赌博；冒险；打赌
vi. 赌博；孤注一掷；投机；打赌
vt. 赌博；孤注一掷；冒险假设"
gasp,"n. 喘气
vi. 喘气；喘息；渴望
vt. 气喘吁吁地说；喘着气说话"
gear,"n. 齿轮；装置，工具；传动装置
adj. 好极了
vt. 开动；搭上齿轮；使……适合；使……准备好
vi. 适合；搭上齿轮；开始工作"
gown,"n. 长袍，长外衣；礼服；睡袍；法衣
vt. 使穿睡衣"
grin,"n. 露齿笑
v. 露齿而笑，咧着嘴笑"
handbook,n. 手册；指南
heap,"n. 堆；许多；累积
vt. 堆；堆积
vi. 堆起来"
heel,"n. 脚后跟；踵
vt. 倾侧
vi. 倾侧"
hinge,"n. 铰链，折叶；关键，转折点；枢要，中枢
v. 用铰链连接；依…为转移；给…安装铰链；（门等）装有蝶铰"
huddle,"n. 拥挤；混乱；杂乱一团
vt. 把...挤在一起；使缩成一团；草率了事
vi. 蜷缩；挤作一团"
hurl,"n. 用力的投掷
vt. 丢下；用力投掷；愤慨地说出
vi. 猛投；猛掷"
imaginative,adj. 富于想象的；有创造力的
inaugurate,vt. 创新；开辟；开创；举行开幕典礼；举行就职典礼
indignation,n. 愤慨；愤怒；义愤
inland,"n. 内地；内陆
adj. 内陆的；内地的；国内的
adv. 在内地；向内地；向内陆；在内陆"
inlet,"n. 入口，进口；插入物；水湾
v. 引进; 嵌入; 插入;"
insulate,vt. 隔离，使孤立；使绝缘，使隔热
intersection,n. 交叉；十字路口；交集；交叉点
ivory,"n. 象牙；乳白色；长牙
adj. 乳白色的；象牙制的"
jerk,"n. 肌肉抽搐；性情古怪的人；蠢人；急拉
vi. 痉挛；急拉；颠簸地行进
vt. 猛拉"
junk,n. 垃圾，废物；舢板
jury,"n.  陪审团；评判委员会
adj. 应急的"
kit,"n. 工具箱；成套工具
vt. 装备
vi. 装备"
knob,"n. 把手；瘤；球形突出物
vi. 鼓起
vt. 使有球形突出物"
likelihood,n. 可能性，可能
limb,"n. 肢，臂；分支；枝干
vt. 切断…的手足；从…上截下树枝"
linear,adj. 线的，线型的；直线的，线状的；长度的
longevity,n. 长寿，长命；寿命
loom,"n. 织布机；若隐若现的景象
vi. 可怕地出现；朦胧地出现；隐约可见
vt. 在织布机上织"
lounge,"n. 休息室；闲逛；躺椅；（英）酒吧间
vi. 闲逛；懒洋洋地躺卧；闲混
vt. 虚度光阴"
lubricate,"vi. 润滑；涂油；起润滑剂作用
vt. 使…润滑；给…加润滑油"
lure,"n. 诱惑；饵；诱惑物
vt. 诱惑；引诱"
magnitude,n. 大小；量级； 震级；重要；光度
mall,n. 购物商场；林荫路；铁圈球场
marshal,"n. 元帅；司仪
vt. 整理；引领；编列
vi. 排列"
medieval,adj. 中世纪的；原始的；仿中世纪的；老式的
militant,"adj. 好战的
n. 富有战斗性的人；好斗者；激进分子"
millionaire,"n. 百万富翁；大富豪
adj. 100万以上人口的"
minibus,"n. 面包车（等于microbus）；小型公共汽车；中客车
vi. 乘中客车"
monetary,adj. 货币的；财政的
monopoly,n. 垄断；垄断者；专卖权
mortal,"adj. 凡人的；致死的；终有一死的；不共戴天的
n. 人类，凡人"
mourn,v. 哀悼；忧伤；服丧
muddy,"adj. 泥泞的；模糊的；混乱的
vt. 使污浊；使沾上泥；把…弄糊涂
vi. 变得泥泞；沾满烂泥"
multitude,n. 群众；多数
naive,"adj. 天真的,幼稚的"
navigation,n. 航行；航海
necessitate,vt. 使成为必需，需要；迫使
nickel,"n. 镍；镍币；五分镍币
vt. 镀镍于"
nickname,"n. 绰号；昵称
vt. 给……取绰号；叫错名字"
notation,n. 符号；乐谱；注释；记号法
offense,n. 犯罪，过错；进攻；触怒；引起反感的事物
orchestra,n. 管弦乐队；乐队演奏处
orthodox,"adj. 正统的；传统的；惯常的；东正教的
n. 正统的人；正统的事物"
outfit,"n. 机构；用具；全套装备
vi. 得到装备
vt. 配备；供应"
outset,n. 开始；开端
overhead,"adv. 在头顶上；在空中；在高处
adj. 高架的；在头上的；在头顶上的
n. 天花板； 经常费用；间接费用；吊脚架空层"
overthrow,"n. 推翻；倾覆；瓦解
vt. 推翻；打倒；倾覆"
owl,n. 猫头鹰；枭；惯于晚上活动的人
ozone,n.  臭氧；新鲜的空气
paradise,"n. 天堂
至福境地"
paralyze,vt. 使麻痹；使瘫痪
parameter,n. 参数；系数；参量
perfection,n. 完善；完美
periodic,adj. 周期的；定期的
periodical,"n. 期刊；杂志
adj.  周期的；定期的"
petty,adj. 琐碎的；小气的；小规模的
physiological,adj. 生理学的，生理的
pole,找不到解释
preach,"n. 说教
vt. 说教；讲道；鼓吹；传道；反复灌输
vi. 说教；讲道；鼓吹；宣扬"
preferable,adj. 更好的，更可取的；更合意的
proceeding,"n. 进行；程序；诉讼；事项
v. 开始；继续做；行进（proceed的ing形式）"
proficiency,n. 精通，熟练
progressive,"n. 改革论者；进步分子
adj. 进步的；先进的"
propagate,"vt. 传播；传送；繁殖；宣传
vi. 繁殖；增殖"
prose,"n. 散文；单调
adj. 散文的；平凡的；乏味的
vt. 把…写成散文
vi. 写散文；乏味地讲话"
prototype,n. 原型；标准，模范
purity,n.  纯度；纯洁；纯净；纯粹
quantify,"vt. 量化；为…定量；确定数量
vi. 量化；定量"
quantitative,adj. 定量的；量的，数量的
quench,"vt. 熄灭， 淬火；解渴；结束；冷浸
vi. 熄灭；平息"
racket,"n. 球拍；吵闹，喧闹
vt. 过着花天酒地的生活
vi. 过着花天酒地的生活"
radiant,"n. 光点；发光的物体
adj. 辐射的；容光焕发的；光芒四射的"
radioactive,adj.  放射性的；有辐射的
rebellion,n. 叛乱；反抗；谋反；不服从
receipt,"n. 收到；收据；收入
vt. 收到"
recipe,n. 食谱； 处方；秘诀；烹饪法
recite,"vt. 背诵；叙述；列举
vi. 背诵；叙述"
redundant,adj. 多余的，过剩的；被解雇的，失业的；冗长的，累赘的
referee,"n. 裁判员；调解人；介绍人
vt. 为…当裁判；调停
vi. 仲裁；担任裁判"
refreshment,n. 点心；起提神作用的东西；精力恢复
refund,"n. 退款；偿还，偿还额
vt. 退还；偿还；付还
vi. 退还；偿还，归还"
regime,n. 政权，政体；社会制度；管理体制
reign,"n. 统治；统治时期；支配
vi. 统治；支配；盛行；君临"
resemblance,n. 相似；相似之处；相似物；肖像
resent,vt. 怨恨；愤恨；厌恶
restraint,n. 抑制，克制；约束
retention,n. 保留；扣留，滞留；记忆力；闭尿
retrospect,"n. 回顾，追溯
vt. 回顾；追忆
vi. 回顾，追溯；回想"
rival,"n. 对手；竞争者
adj. 竞争的
vt. 与…竞争；比得上某人
vi. 竞争"
rot,"n. 腐烂；腐败；腐坏
vt. 使腐烂；使腐朽；使堕落
vi. 腐烂；腐败；堕落
int. （表示厌恶、蔑视、烦恼等）胡说；糟了"
safeguard,"n.  保护；保卫；保护措施
vt.  保护，护卫"
salvation,n. 拯救；救助
sanction,"n. 制裁，处罚；认可；支持
vt. 制裁，处罚；批准；鼓励"
savage,"n. 未开化的人；粗鲁的人；残暴成性的人
adj. 野蛮的；残酷的；狂怒的；荒凉的
vt. 乱咬；粗暴的对待"
scorn,"n. 轻蔑；嘲笑；藐视的对象
vt. 轻蔑；藐视；不屑做
vi. 表示轻蔑；表示鄙视"
scramble,"n. 抢夺，争夺；混乱，混乱的一团；爬行，攀登
vi. 爬行，攀登；不规则地生长；仓促行动
vt. 攀登；使混杂，仓促凑成；扰乱"
screw,"n. 螺旋；螺丝钉；吝啬鬼
vt. 旋，拧；压榨；强迫
vi. 转动，拧"
sculpture,"n. 雕塑；雕刻；刻蚀
vt. 雕塑；雕刻；刻蚀
vi. 从事雕刻"
setback,n. 挫折；退步；逆流
shaft,"n. 拍杆； 轴；箭杆；杆状物
vt. 利用；在……上装杆"
shipment,n. 装货；装载的货物
shutter,"n. 快门；百叶窗；关闭物；遮板
vt. 为…装百叶窗；以百叶窗遮闭"
situated,"v. 使位于；使处于（situate的过去分词）
adj. 位于…的；处于…境遇的"
slack,"n. 煤末；峡谷
adj. 松弛的；疏忽的；不流畅的
vt. 放松；使缓慢
adv. 马虎地；缓慢地
vi. 松懈；减弱"
slippery,adj. 滑的；狡猾的；不稳定的
slot,"n. 位置；狭槽；水沟；硬币投币口
vt. 跟踪；开槽于"
slump,"vt. 使降低；使衰落；使倒下
n. 衰退；暴跌；消沉
vi. 下降，衰落；倒下；大幅度下降，暴跌"
smuggle,"vt. 走私；偷运
vi. 走私，私运；偷带"
sneak,"n. 鬼鬼祟祟的人；偷偷摸摸的行为；告密者
adj. 暗中进行的
vi. 溜；鬼鬼祟祟做事；向老师打小报告
vt. 偷偷地做；偷偷取得"
solicitor,n. 律师；法务官；募捐者；掮客
solidarity,n. 团结，团结一致
solo,"n. 独奏；独唱；独奏曲
adj. 独奏的；独唱的；单独的
vt. 单人攀登；单独驾
vi. 单独表演；放单飞
adv. 单独地"
sparkle,"n. 闪耀；火花；活力
vt. 使闪耀；使发光
vi. 闪耀；发泡；活跃"
specialty,"n. 专业，专长；特产；特性；招牌菜
adj. 特色的；专门的；独立的"
spectrum,n. 光谱；频谱；范围；余象
spice,"n. 香料；情趣；调味品；少许
vt. 加香料于…；使…增添趣味"
stabilize,"vt. 使稳固，使安定
vi. 稳定，安定"
stall,"n. 货摊；畜栏；托辞
vt. 拖延；使停转；使陷于泥中
vi. 停止，停转；拖延"
staple,"n. 主要产品；订书钉；主题；主食
adj. 主要的，大宗生产的；常用的；纺织纤维的
vt. 把…分级；钉住"
statesman,n. 政治家；国务活动家
straightforward,"adj. 简单的；坦率的；明确的；径直的
adv. 直截了当地；坦率地"
strand,"n. 线；串；海滨
vt. 使搁浅；使陷于困境；弄断；使落后
vi. 搁浅"
stride,"n. 大步；步幅；进展
vt. 跨过；大踏步走过；跨坐在…
vi. 跨；跨过；大步行走"
stubborn,adj. 顽固的；顽强的；难处理的
submarine,"n. 潜水艇；海底生物
adj. 海底的；水下的
vt. 用潜水艇攻击
vi. 在下疾行；在下滑动"
supersonic,"n. 超音速；超声波
adj. 超音速的；超声波的"
surgeon,n. 外科医生
surpass,vt. 超越；胜过，优于；非…所能办到或理解
susceptible,"n. 易得病的人
adj. 易受影响的；易感动的；容许…的"
suspension,n. 悬浮；暂停；停职
symposium,n. 讨论会，座谈会；专题论文集；酒宴，宴会
tan,"vi. 晒成棕褐色
adj. 黄褐色的；鞣皮的
n. （日晒后皮肤的）黝黑色；棕褐色；鞣料；马戏团
vt. 鞣（革）；晒成褐色"
tariff,"n. 关税表；收费表
vt. 定税率；征收关税"
tempo,n. 速度，发展速度；拍子
tenant,"n. 承租人；房客；佃户；居住者
vt. 租借（常用于被动语态）"
terrain,n.  地形，地势；领域；地带
tile,"n. 瓷砖，瓦片
vt. 铺以瓦；铺以瓷砖"
token,"n. 表征；代币；记号
adj. 象征的；表意的；作为对某事的保证的
vt. 象征；代表"
transistor,n. 晶体管（收音机）
treaty,n. 条约，协议；谈判
trench,"n. 沟，沟渠；战壕；堑壕
vt. 掘沟
vi. 挖战壕；侵害"
tribe,n. 部落；族；宗族；一伙
triple,"n. 三倍数；三个一组
adj. 三倍的；三方的
vt. 使成三倍
vi. 增至三倍"
tug,"n. 拖船；拖曳；苦干
vt. 用力拉；较量；用拖船拖
vi. 用力拉；竞争；努力做"
unanimous,adj. 全体一致的；意见一致的；无异议的
underlying,"adj. 潜在的；根本的；在下面的；优先的
v. 放在…的下面；为…的基础；优先于（underlie的ing形式）"
unity,n. 团结；一致；联合；个体
update,"n. 更新；现代化
vt. 更新；校正，修正；使现代化"
uphold,vt. 支撑；鼓励；赞成；举起
upright,"n. 垂直；竖立
adj. 正直的，诚实的；垂直的，直立的；笔直的；合乎正道的"
van,"n. 先锋；厢式货车；增值网
vt. 用车搬运"
veil,"n. 面纱；面罩；遮蔽物；托词
vt. 遮蔽；掩饰；以面纱遮掩；用帷幕分隔
vi. 蒙上面纱；出现轻度灰雾"
verbal,"n. 动词的非谓语形式
adj. 口头的；言语的；动词的；照字面的"
verdict,n. 结论；裁定
veto,"n. 否决权
vt. 否决；禁止
vi. 否决；禁止"
visualize,"vt. 形象，形象化；想像，设想
vi. 显现"
warehouse,n. 仓库；货栈；大商店
watt,n. 瓦特
whereby,adv. 凭借；通过…；借以；与…一致
whirl,"n. 旋转，回旋；昏乱；一连串的事；短暂的旅行
vt. 使旋转；卷走，飞快地带走
vi. 旋转，回旋；急走；头晕眼花"
wrench,"n. 扳手，扳钳；扭伤；痛苦；歪曲；猛扭
vt. 扭伤；猛扭；曲解；折磨
vi. 扭伤；猛扭；猛绞"
abortion,n. 流产，堕胎，小产；流产的胎儿；（计划等）失败，夭折
adjacent,adj. 邻近的，毗连的
adjoin,"vt. 毗连，邻接
vi. 毗连，邻接"
adore,"vt. 崇拜；爱慕；喜爱；极喜欢
vi. 崇拜；爱慕"
aerial,"n.  天线
adj. 空中的，航空的；空气的；空想的"
aesthetic,adj. 美的；美学的；审美的，具有审美趣味的
aggregate,"n. 合计；集合体；总计
adj. 聚合的；集合的；合计的
vt. 集合；聚集；合计
vi. 集合；聚集；合计"
agony,n. 苦恼；极大的痛苦；临死的挣扎
aisle,n. 通道，走道；侧廊
album,n. 相簿；唱片集；集邮簿；签名纪念册
alloy,"n. 合金
vt. 使成合金；使减低成色
vi. 易于铸成合金"
ammunition,"n. 弹药；军火
vt. 装弹药于
vi. 装弹药"
appendix,n. 附录；阑尾；附加物
arc,"n. 弧（度）；弧光（全称electric arc）；弧形物；天穹
adj. 圆弧的；反三角函数的
vt. 形成电弧；走弧线"
arena,n. 舞台；竞技场
armor,"n.  装甲；盔甲
vt. 为…装甲"
artery,n. 动脉；干道；主流
artillery,n. 火炮；大炮；炮队；炮术
assassination,n. 暗杀，行刺
assimilate,"vt. 吸收；使同化；把…比作；使相似
vi. 吸收；同化"
atlas,n. 地图集；寰椎
authoritative,adj. 有权威的；命令式的；当局的
autonomy,n. 自治，自治权
aviation,n. 航空；飞行术；飞机制造业
ballet,n. 芭蕾舞剧；芭蕾舞乐曲
bamboo,"n. 竹，竹子
adj. 竹制的；土著居民的
vt. 为…装上篾条"
bang,"n. 刘海；重击；突然巨响
vt. 重击；发巨响
adv. 直接地；砰然地；突然巨响地"
banquet,"n. 宴会，盛宴；宴请，款待
vt. 宴请，设宴款待
vi. 参加宴会"
barricade,"n. 街垒；路障；争论之处
vt. 设路障；阻碍"
batch,"n. 一批；一炉；一次所制之量
vt. 分批处理"
batter,"n. 击球手；（用鸡蛋、牛奶、面粉等调成的）糊状物；墙面的倾斜
vt. 猛击；打坏；使向上倾斜
vi. 接连猛击；向上倾斜"
belly,"n. 腹部；胃；食欲
vt. 使鼓起
vi. 涨满；鼓起"
bibliography,n. 参考书目；文献目录
blink,"n. 眨眼；瞬间；闪光
vt. 眨眼；使…闪烁
vi. 眨眼；闪烁"
blossom,"n. 花；开花期；兴旺期；花开的状态
vi. 开花；兴旺；发展成"
blush,"n. 脸红；红色；羞愧
vt. 红著脸表示；使成红色
vi. 脸红；感到惭愧"
booklet,n. 小册子
bowel,"n. 肠；内部；同情
vt. 将……的肚肠取出"
brace,"n. 支柱； 大括号；曲柄
vt. 支撑；振作起来；激励；撑牢
adj. 曲柄的
vi. 支持；打起精神"
breach,"n. 违背，违反；缺口
vt. 违反，破坏；打破"
bribe,"n. 贿赂
vt. 贿赂，收买
vi. 行贿"
briefcase,n. 公文包
brink,n. （峭壁的）边缘
bronze,"n. 青铜；古铜色；青铜制品
adj. 青铜色的；青铜制的
vt. 镀青铜于
vi. 变成青铜色，被晒黑"
brood,"n. 一窝；一伙
vt. 孵；沉思"
brutal,adj. 残忍的；野蛮的，不讲理的
bud,"n. 芽，萌芽；蓓蕾
vt. 使发芽
vi. 发芽，萌芽"
bug,"n. 臭虫，小虫；故障；窃听器
vt. 烦扰，打扰；装窃听器
vi. 装置窃听器；打扰"
bully,"n. 欺凌弱小者；土霸
vt. 欺负；威吓
adj. 第一流的；特好的
vi. 欺侮人
adv. 很；十分
int. 好；妙"
bust,"n. 破产；半身像；萧条；胸部
adj. 破产了的；毁坏了的
vt. 使破产；使爆裂；逮捕
vi. 破产；爆裂；降低级别"
cabin,"n. 小屋；客舱；船舱
vt. 把…关在小屋里
vi. 住在小屋里"
calcium,n.  钙
cane,"n. 手杖；藤条；细长的茎
vt. 以杖击；以藤编制"
cannon,"n. 大炮；加农炮；榴弹炮；机关炮
vt. 炮轰
vi. 炮轰；开炮"
canvas,"n. 帆布
adj. 帆布制的
vt. 用帆布覆盖，用帆布装备"
cape,n.  海角，岬；披肩
caption,"n. 标题；字幕；说明；逮捕
vt. 加上说明；加上标题"
captive,"n. 俘虏；迷恋者
adj. 被俘虏的；被迷住的"
cathedral,n. 大教堂
Catholic,找不到解释
cellar,"n. 地窖；酒窖；地下室
vt. 把…藏入地窖"
cemetery,n. 墓地；公墓
census,"n. 人口普查，人口调查
vt. 实施统计调查"
ceramic,"n. 陶瓷；陶瓷制品
adj. 陶瓷的；陶器的；制陶艺术的"
chant,"n. 圣歌；赞美诗
vt. 唱；诵扬
vi. 唱歌；反复地唱歌"
chapel,"n. 小礼拜堂，小教堂；礼拜
adj. 非国教的"
cholesterol,n.  胆固醇
chord,n. 弦；和弦；香水的基调
clamp,"n. 夹钳，螺丝钳
vt. 夹紧，固定住"
clan,n. 宗族；部落；集团
clarity,n. 清楚，明晰；透明
clasp,"n. 扣子，钩子；握手
vt. 紧抱；扣紧；紧紧缠绕
vi. 扣住"
clearance,n. 清除；空隙
clockwise,"adj. 顺时针方向的
adv. 顺时针方向地"
coalition,n. 联合；结合，合并
cocaine,n.  可卡因
cocktail,"n. 鸡尾酒；开胃食品
n. 混合物
adj. 鸡尾酒的"
colonial,"n. 殖民地居民
adj. 殖民地的，殖民的"
comet,n.  彗星
comic,"n. 连环漫画；喜剧演员；滑稽人物
adj. 喜剧的；滑稽的；有趣的"
commonwealth,n. 联邦；共和国；国民整体
compartment,"n.  隔间；区划；卧车上的小客房
vt. 分隔；划分"
competence,n. 能力，胜任；权限；作证能力；足以过舒适生活的收入
complexion,"n. 肤色；面色；情况；局面
vt. 使增添色彩"
complication,n. 并发症；复杂；复杂化；混乱
composite,"n. 复合材料；合成物；菊科
adj. 复合的；合成的；菊科的
vt. 使合成；使混合"
consequent,"n. 结果
adj. 随之发生的；作为结果的"
contempt,n. 轻视，蔑视；耻辱
contention,n. 争论，争辩；争夺；论点
cordial,"n. 补品；兴奋剂；甜香酒，甘露酒
adj. 热忱的，诚恳的；兴奋的"
cork,"n. 软木橡树皮；瓶塞；软木塞
vt. 用瓶塞塞住"
corps,n. 军团；兵种；兵队；（德国大学的）学生联合会
corpse,n. 尸体
corrode,"vt. 侵蚀；损害
vi. 受腐蚀；起腐蚀作用"
coupon,n. 息票；赠券；联票； 配给券
courtesy,"n. 礼貌；好意；恩惠
adj. 殷勤的；被承认的；出于礼节的"
cozy,"n. 保温罩
vt. 蒙骗；抚慰
adj. 舒适的；安逸的"
cradle,"n. 摇篮；发源地；发祥地；支船架
vt. 抚育；把...搁在支架上；把...放在摇篮内"
cripple,"n. 跛子；残废
vt. 削弱；使跛；使残废
adj. 跛的；残废的"
cucumber,n. 黄瓜；胡瓜
customary,"n. 习惯法汇编
adj. 习惯的；通常的"
cute,adj. 可爱的；漂亮的；聪明的，伶俐的
cylinder,n. 圆筒；汽缸； 柱面；圆柱状物
decimal,"n. 小数
adj. 小数的；十进位的"
deduct,vt. 扣除，减去；演绎
defiance,n. 蔑视；挑战；反抗
denote,vt. 表示，指示
differentiate,"vt. 区分，区别
vi. 区分，区别"
discreet,adj. 谨慎的；小心的
distill,"vt. 提取；蒸馏；使滴下
vi. 蒸馏；滴下；作为精华产生（等于distil）"
divine,"n. 牧师；神学家
adj. 神圣的；非凡的；天赐的；极好的
vt. 占卜；预言；用占卜勘探
vi. 占卜；预言；使用占卜勘探矿"
dock,"n. 码头；船坞；被告席；尾巴的骨肉部分
vt. 使靠码头；剪短
vi. 入船坞"
dodge,"n. 躲闪；托词
vi. 躲避，避开
vt. 躲避，避开
n. 道奇（汽车品牌）"
dole,"n. 失业救济金；赈济物；施舍品
vt. 发放救济；以小份发给"
doubtless,"adj. 无疑的；确定的
adv. 无疑地；确定地；大概，多半"
drainage,n. 排水；排水系统；污水；排水面积
dread,"n. 恐惧；可怕的人（或物）
vt. 惧怕；担心
adj. 可怕的
vi. 惧怕；担心"
dreadful,adj. 可怕的；糟透的，令人不快的
drill,"n. 训练；钻孔机；钻子；播种机
vt. 钻孔；训练；条播
vi. 钻孔；训练"
dwarf,"n. 侏儒，矮子
adj. 矮小的
vi. 变矮小
vt. 使矮小"
Easter,n. 复活节
eclipse,"n. 日蚀，月蚀；黯然失色
vt. 使黯然失色；形成蚀"
edible,"n. 食品；食物
adj. 可食用的"
endurance,n. 忍耐力；忍耐；持久；耐久
equator,n. 赤道
erosion,n. 侵蚀，腐蚀
escort,"n. 陪同；护航舰；护卫队；护送者
vt. 护送；陪同；为…护航"
esthetic,"n. 美学；审美家；唯美主义者
adj. 审美的（等于aesthetic）；感觉的"
expend,vt. 花费；消耗；用光；耗尽
exposition,n. 博览会；阐述；展览会
fabric,n. 织物；布；组织；构造；建筑物
fellowship,n. 团体；友谊；奖学金；研究员职位
fixture,n. 设备；固定装置；固定于某处不大可能移动之物
flank,"n. 侧面；侧翼；侧腹
vt. 守侧面；位于…的侧面；攻击侧面
vi. 侧面与…相接
adv. 在左右两边"
flask,n.  烧瓶；长颈瓶，细颈瓶；酒瓶，携带瓶
flatter,vt. 奉承；谄媚；使高兴
fling,"n. 掷，抛；嘲弄；急冲
vt. 掷，抛；嘲笑；使陷入；轻蔑地投射；猛动
vi. 猛冲，急行"
foil,"n. 箔，金属薄片；衬托，烘托；叶形片
abbr. 面向文件的翻译语言（file-Oriented interpretive language）
vt. 衬托；阻止，挡开；挫败；贴箔于"
fort,"n. 堡垒；要塞；（美）边界贸易站
vt. 设要塞保卫
vi. 构筑要塞"
foul,"n. 犯规；缠绕
adj. 犯规的；邪恶的；污秽的；淤塞的
vt. 犯规；弄脏；淤塞；缠住，妨害
adv. 违反规则地，不正当地
vi. 犯规；腐烂；缠结"
fragrance,n. 香味，芬芳
frantic,adj. 狂乱的，疯狂的
fury,n. 狂怒；暴怒；激怒者
fuse,"n. 保险丝，熔线；导火线，雷管
vt. 使融合；使熔化，使熔融
vi. 融合；熔化，熔融"
galaxy,"n. 银河； 星系；银河系；一群显赫的人
n. 三星智能手机品牌 2015年三星中国公布Galaxy的中文名称为“盖乐世”（Galaxy）
"
garment,"n. 衣服，服装；外表，外观
vt. 给…穿衣服"
gauge,"n. 计量器；标准尺寸；容量规格
vt. 测量；估计；给…定规格"
gigantic,adj. 巨大的，庞大的
giggle,"n. 吃吃的笑
vt. 咯咯地笑着说
vi. 傻笑；咯咯地笑"
glamor,"n. 魅力；魔法；迷人的美（等于glamour）
vt. 迷惑；使有魅力（等于glamour）"
glamour,"n. 魅力，魔力；迷人的美
vt. 迷惑，迷住"
gland,"n. 腺
密封压盖"
glide,"vi. 滑翔；滑行；悄悄地走；消逝
vt. 使滑行；使滑动
n. 滑翔；滑行；滑移；滑音"
gloom,n. 昏暗；阴暗
graphic,adj. 形象的；图表的；绘画似的
graze,"n. 放牧；轻擦
vi. 吃草；擦伤
vt. 放牧；擦伤"
grease,"n. 油脂；贿赂
vt. 涂脂于；贿赂"
grim,adj. 冷酷的；糟糕的；残忍的
groove,"n.  凹槽，槽；最佳状态；惯例
vt. 开槽于
vi. 形成沟槽"
guardian,"n.  监护人，保护人；守护者
adj. 守护的"
hardy,"n. 强壮的人；耐寒植物；方柄凿
adj. 坚强的；勇敢的；能吃苦耐劳的；鲁莽的"
hawk,"n. 鹰；鹰派成员；掠夺他人的人
vi. 清嗓；咳嗽；像鹰一般地袭击
vt. 兜售，沿街叫卖；捕捉；咳出"
heir,n.  继承人；后嗣；嗣子
henceforth,adv. 今后；自此以后
herb,n. 香草，药草
hike,"n. 远足；徒步旅行；涨价
vt. 提高；拉起；使…高涨
vi. 远足；徒步旅行；上升"
hitherto,adv. 迄今；至今
hop,"vt. 搭乘
v. 单足跳跃
vi. 双足或齐足跳行
n. 蹦跳,跳跃；跳舞；一次飞行的距离"
hose,"n. 软管；长筒袜；男性穿的紧身裤
vt. 用软管浇水；痛打"
hostage,n. 人质；抵押品
hound,"n. 猎犬；卑劣的人
vt. 追猎；烦扰；激励"
howl,"n. 嗥叫；怒号；嚎哭
vt. 狂喊着说；对…吼叫
vi. 咆哮；怒吼；狂吠"
hug,"n. 拥抱；紧抱；固执
vi. 拥抱；紧抱在一起；挤在一起
vt. 拥抱；紧抱；抱有，坚持"
hum,"n. 嗡嗡声；哼声；杂声
vt. 用哼声表示
int. 哼；嗯
vi. 发低哼声"
hysterical,adj. 歇斯底里的；异常兴奋的
ideology,n. 意识形态；思想意识；观念学
idiom,n. 成语，习语；土话
idiot,n. 笨蛋，傻瓜；白痴
inertia,n.  惯性；惰性，迟钝；不活动
innumerable,adj. 无数的，数不清的
instrumental,"n. 器乐曲；工具字，工具格
adj. 乐器的；有帮助的；仪器的，器械的"
intercourse,n. 性交；交往；交流
interim,"n. 过渡时期，中间时期；暂定
adj. 临时的，暂时的；中间的；间歇的"
invert,"n. 颠倒的事物；倒置物；倒悬者
adj. 转化的
vt. 使…转化；使…颠倒；使…反转；使…前后倒置"
irrespective,adj. 无关的；不考虑的；不顾的
irrigation,n. 灌溉； 冲洗；冲洗法
isle,"n. 岛
vt. 使成为岛屿
vi. 住在岛屿上"
jog,"vt. 慢跑；轻推；蹒跚行进；使颠簸
vi. 慢跑；轻推；蹒跚行进；颠簸着移动
n. 慢跑；轻推，轻撞"
juvenile,"adj. 青少年的；幼稚的
n. 青少年；少年读物"
lace,"n. 花边；鞋带；饰带；少量烈酒
vt. 饰以花边；结带子
vi. 系带子"
lame,"adj. 跛足的；僵痛的；不完全的；无说服力的；差劲的，蹩脚的
vi. 变跛
vt. 使跛；使成残废"
lash,"vt. 鞭打；冲击；摆动；扎捆；煽动；讽刺
vi. 鞭打；猛击；急速甩动
n. 鞭打；睫毛；鞭子；责骂；讽刺"
latent,adj. 潜在的；潜伏的；隐藏的
layman,n. 外行；门外汉；俗人；一般信徒
legend,n. 传奇；说明；图例；刻印文字
lever,"n. 杠杆；控制杆
vt. 用杠杆撬动；把…作为杠杆
vi. 用杠杆撬"
levy,"n. 征收；征兵，征税
vt. 征收（税等）；征集（兵等）
vi. 征税；征兵"
lieutenant,n. 中尉；副官；助理人员
limp,"adj. 柔软的，无力的；软弱的
vi. 跛行，一拐一拐地走；缓慢费力地前进
n. 跛行"
linen,"n. 亚麻布，亚麻线；亚麻制品
adj. 亚麻的；亚麻布制的"
liner,n. 班轮，班机；衬垫；画线者
locality,n. 所在；位置；地点
locomotive,"adj. 火车头的；运动的；移动的
n. 机车；火车头"
lofty,adj. 高的；崇高的；高级的；高傲的
loyal,"adj. 忠诚的，忠心的；忠贞的
n. 效忠的臣民；忠实信徒"
lunar,adj. 月亮的，月球的；阴历的；银的；微亮的
magistrate,n. 地方法官；文职官员；治安推事
magnet,n. 磁铁； 磁体；磁石
majesty,n. 威严；最高权威，王权；雄伟；权威
mansion,n. 大厦；宅邸
manuscript,"n.  手稿；原稿
adj. 手写的"
marble,"n. 大理石；大理石制品；弹珠
adj. 大理石的；冷酷无情的"
marsh,"n. 沼泽；湿地
adj. 沼泽的；生长在沼泽地的"
massacre,"vt. 残杀；彻底击败
n. 大屠杀；惨败"
masterpiece,n. 杰作；绝无仅有的人
