solve,"vt. 解决；解答；溶解
vi. 作解答"
struggle,"n. 努力，奋斗；竞争
vt. 使劲移动；尽力使得
vi. 奋斗，努力；挣扎"
prospective,"n. 预期；展望
adj. 未来的；预期的"
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
reform,"n. 改革，改良；改正
adj. 改革的；改革教会的
vt. 改革，革新；重新组成
vi. 重组；改过"
viewpoint,n. 观点，看法；视角
context,n. 环境；上下文；来龙去脉
neutral,"adj. 中立的，中性的；中立国的；非彩色的
n. 中立国；中立者；非彩色；齿轮的空档"
franchise,"n. 特权；公民权；经销权；管辖权
vt. 给…以特许（或特权）；赋予公民权"
coalition,n. 联合；结合，合并
elapse,"n. 流逝；时间的过去
vi. 消逝；时间过去"
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
coil,"n. 线圈；卷
vt. 盘绕，把…卷成圈
vi. 成圈状"
collide,"vi. 碰撞；抵触，冲突
vt. 使碰撞；使相撞"
expect,"vi. 期待；预期
vt. 期望；指望；认为；预料"
pneumonia,n. 肺炎
proceeding,"n. 进行；程序；诉讼；事项
v. 开始；继续做；行进（proceed的ing形式）"
confirm,vt. 确认；确定；证实；批准；使巩固
obedience,n. 顺从；服从；遵守
prosecute,"vt. 检举；贯彻；从事；依法进行
vi. 起诉；告发；作检察官"
declare,"vt. 宣布，声明；断言，宣称
vi. 声明，宣布"
editorial,"n. 社论
adj. 编辑的；社论的"
raid,"n. 袭击；突袭；搜捕；抢劫
vt. 袭击，突袭
vi. 对…进行突然袭击"
loosen,"vt. 放松；松开
vi. 放松；松开"
combination,n. 结合；组合；联合； 化合
serve,"n. 发球，轮到发球
vi. 服役，服务；适合，足够；发球；招待，侍候
vt. 招待，供应；为…服务；对…有用；可作…用"
opponent,"n. 对手；反对者；敌手
adj. 对立的；敌对的"
economical,adj. 经济的；节约的；合算的
hence,adv. 因此；今后
command,"n. 指挥，控制；命令；司令部
vt. 命令，指挥；控制；远望
vi. 命令，指挥；控制"
diminish,"vt. 使减少；使变小
vi. 减少，缩小；变小"
mood,n. 情绪，语气；心境；气氛
rouse,"n. 觉醒；奋起
vt. 唤醒；激起，使振奋；惊起
vi. 醒来；奋起"
likelihood,n. 可能性，可能
foresee,vt. 预见；预知
criterion,n. （批评判断的）标准；准则；规范；准据
wander,"vi. 徘徊；漫步；迷路；离题
vt. 游荡，漫游"
suspend,"vt. 延缓，推迟；使暂停；使悬浮
vi. 悬浮；禁赛"
suicide,"n. 自杀；自杀行为；自杀者
adj. 自杀的
vt. 自杀
vi. 自杀"
cradle,"n. 摇篮；发源地；发祥地；支船架
vt. 抚育；把...搁在支架上；把...放在摇篮内"
precedent,"n. 先例；前例
adj. 在前的；在先的"
weird,"n. （苏格兰）命运；预言
adj. 怪异的；不可思议的；超自然的"
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
overlook,"vt. 忽略；俯瞰；远眺；检查；高耸于…之上
n. 忽视；眺望"
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
profitable,adj. 有利可图的；赚钱的；有益的
deserve,"vi. 应受，应得
vt. 应受，应得"
basis,n. 基础；底部；主要成分；基本原则或原理
forth,adv. 向前，向外；自…以后
lodge,"n. 旅馆；门房；集会处；山林小屋
vt. 提出；寄存；借住；嵌入
vi. 寄宿；临时住宿"
machinery,n. 机械；机器；机构；机械装置
determine,"v. （使）下决心，（使）做出决定
vt. 决定，确定；判定，判决；限定
vi. 确定；决定；判决，终止；了结，终止，结束"
oath,n. 誓言，誓约；诅咒，咒骂
patriotic,adj. 爱国的
petition,"n. 请愿；请愿书；祈求； 诉状
vt. 请愿；请求；恳求
vi. 请愿；请求"
imperative,"n. 必要的事；命令；需要；规则；祈使语气
adj. 必要的，不可避免的；紧急的；命令的，专横的；势在必行的；祈使的"
resolution,n.  分辨率；决议；解决；决心
expose,vt. 揭露，揭发；使曝光；显示
loom,"n. 织布机；若隐若现的景象
vi. 可怕地出现；朦胧地出现；隐约可见
vt. 在织布机上织"
refresh,"vt. 更新；使……恢复；使……清新；消除……的疲劳
vi. 恢复精神；喝饮料，吃点心；补充给养"
glimpse,"n. 一瞥，一看
vt. 瞥见
vi. 瞥见"
glitter,"vi. 闪光；闪烁
n. 闪光；灿烂"
gloomy,adj. 黑暗的；沮丧的；阴郁的
pickup,n. 收集，整理；小卡车；拾起；搭车者；偶然结识者
consider,"vi. 考虑；认为；细想
vt. 考虑；认为；考虑到；细想"
glorious,adj. 光荣的；辉煌的；极好的
hike,"n. 远足；徒步旅行；涨价
vt. 提高；拉起；使…高涨
vi. 远足；徒步旅行；上升"
opt,vi. 选择
illustration,n. 说明；插图；例证；图解
quest,"n. 追求；寻找
vt. 探索
vi. 追求；寻找"
respective,adj. 分别的，各自的
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
depart,"adj. 逝世的
vi. 离开；出发，起程；违反；去世"
reservoir,n. 水库；蓄水池
hint,"n. 暗示；线索
vt. 暗示；示意
vi. 示意"
imaginative,adj. 富于想象的；有创造力的
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
resist,"n.  抗蚀剂；防染剂
vt. 抵抗；忍耐，忍住
vi. 抵抗，抗拒；忍耐"
meditate,"vt. 考虑；计划；企图
vi. 冥想；沉思"
lunar,adj. 月亮的，月球的；阴历的；银的；微亮的
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
shortage,n. 缺乏，缺少；不足
simulate,"adj. 模仿的；假装的
vt. 模仿；假装；冒充"
situated,"v. 使位于；使处于（situate的过去分词）
adj. 位于…的；处于…境遇的"
confusion,n. 混淆，混乱；困惑
successive,adj. 连续的；继承的；依次的；接替的
refer,"vt. 涉及；委托；归诸于；使…求助于
vi. 参考；涉及；提到；查阅"
judicial,adj. 公正的，明断的；法庭的；审判上的
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
summit,"n. 顶点；最高级会议；最高阶层
adj. 最高级的；政府首脑的"
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
radiant,"n. 光点；发光的物体
adj. 辐射的；容光焕发的；光芒四射的"
insist,"vi. 坚持，强调
vt. 坚持，强调"
naval,adj. 海军的；军舰的
consult,"vi. 请教；商议；当顾问
vt. 查阅；商量；向…请教"
racket,"n. 球拍；吵闹，喧闹
vt. 过着花天酒地的生活
vi. 过着花天酒地的生活"
redeem,vt. 赎回；挽回；兑换；履行；补偿；恢复
nostalgic,adj. 怀旧的；乡愁的
orientation,n. 方向；定向；适应；情况介绍；向东方
outfit,"n. 机构；用具；全套装备
vi. 得到装备
vt. 配备；供应"
retrieve,"n.  检索；恢复，取回
vt.  检索；恢复；重新得到
vi. 找回猎物"
confuse,vt. 使混乱；使困惑
revelation,n. 启示；揭露；出乎意料的事；被揭露的真相
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
revenge,"n. 报复；复仇
vt. 报复；替…报仇；洗雪
vi. 报仇；雪耻"
crude,"n. 原油；天然的物质
adj. 粗糙的；天然的，未加工的；粗鲁的"
defeat,"n. 失败的事实；击败的行为
vt. 击败，战胜；挫败；使…失败"
reed,"n.  芦苇；簧片；牧笛；不可依靠的人
vt. 用芦苇盖；用芦苇装饰"
describe,vt. 描述，形容；描绘
emit,vt. 发出，放射；发行；发表
outbreak,"n. （战争的）爆发；（疾病的）发作
vi. 爆发"
immense,adj. 巨大的，广大的；无边无际的；非常好的
cloak,"n. 斗蓬；宽大外衣；托词
vt. 遮掩；隐匿"
reel,"n. 蹒跚；眩晕；旋转
vt. 卷；使旋转
vi. 卷；眩晕；蹒跚地走；退缩"
specialty,"n. 专业，专长；特产；特性；招牌菜
adj. 特色的；专门的；独立的"
jail,"n. 监狱；监牢；拘留所
vt. 监禁；下狱"
compute,"n. 计算；估计；推断
vt. 计算；估算；用计算机计算
vi. 计算；估算；推断"
sin,"n. 罪恶；罪孽；过失
vt. 犯罪
vi. 犯罪；犯过失"
crust,"n. 地壳；外壳；面包皮；坚硬外皮
vi. 结硬皮；结成外壳
vt. 盖以硬皮；在…上结硬皮"
dairy,"n. 奶制品；乳牛；制酪场；乳品店；牛奶及乳品业
adj. 乳品的；牛奶的；牛奶制的；产乳的"
descent,"n. 下降；血统；袭击
vt. 除去…的气味；使…失去香味"
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
resemblance,n. 相似；相似之处；相似物；肖像
elbow,"n. 肘部；弯头；扶手
vt. 推挤；用手肘推开"
paradox,n. 悖论，反论；似非而是的论点；自相矛盾的人或事
rip,"n. 裂口，裂缝
vi. 裂开，被撕裂
vt. 撕；锯"
contest,"n. 竞赛；争夺；争论
vt. 争辩；质疑
vi. 竞争；争辩"
source,n. 来源；水源；原始资料
flatter,vt. 奉承；谄媚；使高兴
contemplate,"vt. 沉思；注视；思忖；预期
vi. 冥思苦想；深思熟虑"
hardware,n. 计算机硬件；五金器具
originate,"vt. 引起；创作
vi. 发源；发生；起航"
vulnerable,adj. 易受攻击的，易受…的攻击；易受伤害的；有弱点的
splash,"n. 飞溅的水；污点；卖弄
vt. 溅，泼；用...使液体飞溅
vi. 溅湿；溅开"
trumpet,"n. 喇叭；喇叭声
vt. 吹喇叭；吹嘘
vi. 吹喇叭；发出喇叭般的声音"
evaluate,"vt. 评价；估价；求…的值
vi. 评价；估价"
inferior,"n. 下级；次品
adj. 差的；自卑的；下级的，下等的"
perceive,"vt. 察觉，感觉；理解；认知
vi. 感到，感知；认识到"
ornament,"n. 装饰； 装饰物；教堂用品
vt. 装饰，修饰"
captive,"n. 俘虏；迷恋者
adj. 被俘虏的；被迷住的"
setback,n. 挫折；退步；逆流
glacier,n. 冰河，冰川
progress,"n. 进步，发展；前进
vi. 前进，进步；进行"
subordinate,"n. 下属，下级；部属，属下
adj. 从属的；次要的
vt. 使……居下位；使……服从"
guideline,"n. 指导方针
参考"
preceding,"v. 在...之前（precede的ing形式）
adj. 在前的；前述的"
converge,"vt. 使汇聚
vi. 聚集；靠拢；收敛"
sufficient,adj. 足够的；充分的
desire,"n. 欲望；要求，心愿；性欲
vt. 想要；要求；希望得到…
vi. 渴望"
substance,n. 物质；实质；资产；主旨
largely,adv. 主要地；大部分；大量地
surround,"n. 围绕物
vt. 围绕；包围
adj. 环绕立体声的"
define,vt. 定义；使明确；规定
sanction,"n. 制裁，处罚；认可；支持
vt. 制裁，处罚；批准；鼓励"
volume,"n. 量；体积；卷；音量；大量；册
adj. 大量的
vt. 把…收集成卷
vi. 成团卷起"
irritate,"vt. 刺激，使兴奋；激怒
vi. 引起恼怒，引起不愉快"
sign,"n. 迹象；符号；记号；手势；指示牌
vt. 签署；示意
vi. 签署；签名"
correspondence,n. 通信；一致；相当
category,n. 种类，分类； 范畴
intensity,n. 强度；强烈； 亮度；紧张
crawl,"n. 爬行；养鱼池；匍匐而行
vt. 爬行；缓慢地行进
vi. 爬行；匍匐行进"
psychiatry,n. 精神病学；精神病治疗法
legend,n. 传奇；说明；图例；刻印文字
cosmic,adj. 宇宙的（等于cosmical）
distract,vt. 转移；分心
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
cement,"n. 水泥；接合剂
vt. 巩固，加强；用水泥涂；接合
vi. 粘牢"
doze,"n. 瞌睡
vi. 打瞌睡；假寐
vt. 打瞌睡度过"
drastic,"n. 烈性泻药
adj. 激烈的；猛烈的"
industrialize,"vt. 使工业化
vi. 实现工业化"
drought,n. 干旱；缺乏
exile,"n. 流放，充军；放逐，被放逐者；流犯
vt. 放逐，流放；使背井离乡"
humidity,n.  湿度；湿气
interfere,"vi. 干涉；妨碍；打扰
vt. 冲突；介入"
state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述"
exquisite,"n. 服饰过于讲究的男子
adj. 精致的；细腻的；优美的，高雅的；异常的；剧烈的"
galaxy,"n. 银河； 星系；银河系；一群显赫的人
n. 三星智能手机品牌 2015年三星中国公布Galaxy的中文名称为“盖乐世”（Galaxy）
"
harbor,"n. 海港；避难所
vt. 庇护；怀有
vi. 居住，生存；入港停泊；躲藏"
provision,"n. 规定；条款；准备； 供应品
vt. 供给…食物及必需品"
mobilize,"vt. 动员，调动；集合，组织；使…流通；使…松动
vi. 组织；动员起来"
roar,"n. 咆哮；吼；轰鸣
vi. 咆哮；吼叫；喧闹
vt. 咆哮；呼喊；使……轰鸣"
stagger,"n. 蹒跚；交错安排
vt. 蹒跚；使交错；使犹豫
adj. 交错的；错开的
vi. 蹒跚；犹豫"
robe,"n. 长袍，礼服；制服
vi. 穿长袍
vt. 使穿长袍"
belief,n. 相信，信赖；信仰；教义
stiff,"adj. 呆板的；坚硬的；严厉的；拘谨的
adv. 僵硬地；彻底地
n. 死尸；令人讨厌者；流通票据；劳动者
vt. 诈骗；失信"
overwhelm,vt. 淹没；压倒；受打击；覆盖；压垮
swear,"n. 宣誓；诅咒
vt. 发誓；咒骂
vi. 发誓，宣誓；诅咒"
accustom,vt. 使习惯于
overturn,"vt. 推翻；倾覆；破坏
vi. 推翻；倾覆
n. 倾覆；周转；破灭"
concede,"vi. 让步
vt. 承认；退让；给予，容许"
shiver,"n. 颤抖，战栗；碎片
vi. 颤抖；哆嗦；打碎
vt. 颤抖；打碎"
prosper,"vi. 繁荣，昌盛；成功
vt. 使……成功；使……昌盛；使……繁荣"
devote,vt. 致力于；奉献
hazard,"n. 危险，冒险；冒险的事
vt. 赌运气；冒…的危险，使遭受危险"
doctrine,n. 主义；学说；教义；信条
installation,n. 安装，装置；就职
goodness,"n. 善良，优秀 ；精华，养分
int. 天哪"
arrest,"n. 逮捕；监禁
vt. 逮捕；阻止；吸引"
preside,"vi. 主持，担任会议主席
vt. 管理"
invasion,n. 入侵，侵略；侵袭；侵犯
snap,"n. 猛咬；劈啪声；突然折断
adj. 突然的
vt. 突然折断，拉断；猛咬；啪地关上
vi. 咬；厉声说；咯嗒一声关上"
specification,n. 规格；说明书；详述
strife,n. 冲突；争吵；不和
accident,n. 事故；意外； 意外事件；机遇
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
stationery,n. 文具；信纸
fringe,"n. 边缘；穗；刘海
adj. 边缘的；附加的
vt. 加穗于"
integral,"n. 积分；部分；完整
adj. 积分的；完整的，整体的；构成整体所必须的"
drown,"vt. 淹没；把…淹死
vi. 淹死；溺死"
sociology,n. 社会学；群体生态学
cruise,"n. 巡航，巡游；乘船游览
vt. 巡航，巡游；漫游
vi. 巡航，巡游；漫游"
fossil,"n. 化石；僵化的事物；顽固不化的人
adj. 化石的；陈腐的，守旧的"
resultant,"n. 合力；结果； 生成物
adj. 结果的；合成的"
statute,n.  法规；法令；条例
intelligible,adj. 可理解的；明了的；仅能用智力了解的
accomplish,vt. 完成；实现；达到
blaze,"n. 火焰，烈火；光辉；情感爆发
vt. 在树皮上刻路标；公开宣布
vi. 燃烧；照耀，发光；激发"
repay,"vt. 回报；报复；付还
vi. 偿还；报答；报复"
stereotype,"n. 陈腔滥调，老套；铅版
vt. 使用铅版；套用老套，使一成不变"
apparent,adj. 显然的；表面上的
shorthand,"n. 速记；速记法
adj. 速记法的"
stagnant,adj. 停滞的；不景气的；污浊的；迟钝的
reference,"n. 参考，参照；涉及，提及；参考书目；介绍信；证明书
vt. 引用
vi. 引用"
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
absolute,"n. 绝对；绝对事物
adj. 绝对的；完全的；专制的"
poll,"n. 投票；民意测验；投票数；投票所
adj. 无角的；剪过毛的；修过枝的
vt. 投票；剪短；对…进行民意测验；获得选票
vi. 投票"
sole,"n. 鞋底；脚底；基础；鳎目鱼
adj. 唯一的；单独的；仅有的
vt. 触底；上鞋底"
estate,n. 房地产；财产；身份
obscure,"adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模糊的或不清楚的东西"
invert,"n. 颠倒的事物；倒置物；倒悬者
adj. 转化的
vt. 使…转化；使…颠倒；使…反转；使…前后倒置"
vision,"n. 视力；美景；眼力；幻象；想象力；幻视（漫威漫画旗下超级英雄）
vt. 想象；显现；梦见"
orient,"vt. 使适应；确定方向；使朝东
n. 东方；东方诸国
adj. 东方的
vi. 向东"
security,"n. 安全；保证；证券；抵押品
adj. 安全的；保安的；保密的"
intensive,"n. 加强器
adj. 加强的；集中的；透彻的；加强语气的"
liquor,"n. 酒，含酒精饮料；溶液；液体；烈酒
vi. 喝酒，灌酒
vt. 使喝醉"
duplicate,"n. 副本；复制品
adj. 复制的；二重的
vt. 复制；使加倍
vi. 复制；重复"
necessity,n. 需要；必然性；必需品
installment,n. 安装；分期付款；部分；就职
retrospect,"n. 回顾，追溯
vt. 回顾；追忆
vi. 回顾，追溯；回想"
sovereign,"n. 君主；独立国；最高统治者
adj. 至高无上的；有主权的；拥有最高统治权的；不折不扣的；极好的"
insight,n. 洞察力；洞悉
incidentally,adv. 顺便；偶然地；附带地
confine,"n. 界限，边界;约束；限制
vt. 限制；禁闭"
irony,"n. 讽刺；反语；具有讽刺意味的事
adj. 铁的；似铁的"
climate,n. 气候；风气；思潮；风土
unity,n. 团结；一致；联合；个体
impressive,adj. 感人的；令人钦佩的；给人以深刻印象的
portion,"n. 部分；一份；命运
vt. 分配；给…嫁妆"
convention,n. 大会； 惯例； 约定； 协定；习俗
affair,n. 事情；事务；私事；（尤指关系不长久的）风流韵事
appetite,n. 食欲；嗜好
nasty,"adj. 下流的；肮脏的；脾气不好的；险恶的
n. 令人不快的事物
性的吸引力"
lead,"n. 领导；铅；导线；榜样
vt. 领导；致使；引导；指挥
vi. 领导；导致；用水砣测深
adj. 带头的；最重要的"
resistant,"n. 抵抗者
adj. 抵抗的，反抗的；顽固的"
imitation,"n. 模仿，仿造；仿制品
adj. 人造的，仿制的"
detector,n. 探测器；检测器；发现者；侦察器
surrender,"n. 投降；放弃；交出；屈服
vt. 使投降；放弃；交出；听任
vi. 投降；屈服；自首"
dialog,n. 对话；会话
disastrous,adj. 灾难性的；损失惨重的；悲伤的
evaporate,"vt. 使……蒸发；使……脱水；使……消失
vi. 蒸发，挥发；消失，失踪"
evoke,vt. 引起，唤起；博得
divert,"vt. 转移；使…欢娱；使…转向
vi. 转移"
greedy,adj. 贪婪的；贪吃的；渴望的
hierarchy,n. 层级；等级制度
grim,adj. 冷酷的；糟糕的；残忍的
heroine,n. 女主角；女英雄；女杰出人物
diversion,n. 转移；消遣；分散注意力
giggle,"n. 吃吃的笑
vt. 咯咯地笑着说
vi. 傻笑；咯咯地笑"
powerful,"adj. 强大的；强有力的
adv. 很；非常"
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
indulge,"vi. 沉溺；满足；放任
vt. 满足；纵容；使高兴；使沉迷于…"
mistress,n. 情妇；女主人；主妇；女教师；女能人
sting,"n. 刺痛；讽刺，刺激；刺毛
vt. 刺；驱使；使…苦恼；使…疼痛
vi. 刺痛；被刺痛；感到剧痛"
devise,"n. 遗赠
vt. 设计；想出；发明；图谋；遗赠给"
sympathize,vi. 同情，怜悯；支持
aware,adj. 意识到的；知道的；有…方面知识的；懂世故的
mischief,n. 恶作剧；伤害；顽皮；不和
sway,"n. 影响；摇摆；统治
vt. 影响；统治；使摇动
vi. 影响；摇摆"
restless,adj. 焦躁不安的；不安宁的；得不到满足的
shipment,n. 装货；装载的货物
blunt,"adj. 钝的，不锋利的；生硬的；直率的
vt. 使迟钝"
restrain,vt. 抑制，控制；约束；制止
overseas,"adv. 在海外，海外
adj. 海外的，国外的"
impression,n. 印象；效果，影响；压痕，印记；感想；曝光（衡量广告被显示的次数。打开一个带有该广告的网页，则该广告的impression 次数增加一次）
incorporate,"vt. 包含，吸收；体现；把……合并
adj. 合并的；一体化的；组成公司的
vi. 合并；混合；组成公司"
spectator,n. 观众；旁观者
grin,"n. 露齿笑
v. 露齿而笑，咧着嘴笑"
hop,"vt. 搭乘
v. 单足跳跃
vi. 双足或齐足跳行
n. 蹦跳,跳跃；跳舞；一次飞行的距离"
stir,"n. 搅拌；轰动
vi. 搅动；传播；走动
vt. 搅拌；激起；惹起"
inhale,"vt. 吸入；猛吃猛喝
vi. 吸气"
prescribe,"vt. 规定；开处方
vi. 规定；开药方"
interface,"n. 界面；<计>接口；交界面
v. （使通过界面或接口）接合，连接；使联系
vi. 相互作用（或影响）；交流，交谈"
review,"n. 回顾；复习；评论；检讨；检阅
vt. 回顾；检查；复审
vi. 回顾；复习功课；写评论"
interior,"n. 内部；本质
adj. 内部的；国内的；本质的"
indicative,"n. 陈述语气；陈述语气的动词形式
adj. 象征的；指示的；表示…的"
swarm,"n. 蜂群；一大群
vi. 挤满；成群浮游；云集
vt. 挤满；爬"
capacity,n. 能力；容量；资格，地位；生产力
streamline,"n. 流线；流线型
vt. 把…做成流线型；使现代化；组织；使合理化；使简单化
adj. 流线型的"
ridge,"n. 山脊；山脉；屋脊
vt. 使成脊状；作垄
vi. 成脊状"
lack,"vt. 缺乏；不足；没有；需要
vi. 缺乏；不足；没有
n. 缺乏；不足"
stack,"n. 堆；堆叠
vt. 使堆叠；把…堆积起来
vi. 堆积，堆叠"
despise,vt. 轻视，鄙视
instrumental,"n. 器乐曲；工具字，工具格
adj. 乐器的；有帮助的；仪器的，器械的"
strenuous,adj. 紧张的；费力的；奋发的；艰苦的；热烈的
diameter,n. 直径
flare,"n. 加剧，恶化；底部展开；（鼻孔）张开的意思；闪光，闪耀；耀斑；爆发；照明弹
vi. 闪耀，闪光；燃烧；突然发怒
vt. 使闪耀；使张开；用发光信号发出；使外倾"
mark,"n. 标志；马克；符号；痕迹；分数
vi. 作记号
vt. .标志；做标记于；打分数
n. . 标志；做标记于；打分数"
instantaneous,adj. 瞬间的；即时的；猝发的
stoop,"n. 弯腰，屈背；屈服
vt. 辱没，堕落；俯曲
vi. 弯腰；屈服；堕落"
insulate,vt. 隔离，使孤立；使绝缘，使隔热
analyze,vt. 对…进行分析，分解（等于analyse）
principal,"adj. 主要的；资本的
n. 首长；校长；资本；当事人"
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
attain,"n. 成就
vt. 达到，实现；获得；到达
vi. 达到；获得；到达"
blunder,"n. 大错
vt. 做错
vi. 跌跌撞撞地走；犯大错"
hurl,"n. 用力的投掷
vt. 丢下；用力投掷；愤慨地说出
vi. 猛投；猛掷"
stereo,"n. 立体声；立体声系统；铅版；立体照片
adj. 立体的；立体声的；立体感觉的"
minor,"adj. 未成年的；次要的；较小的；小调的；二流的
n. 未成年人；小调；副修科目
vi. 副修"
sparkle,"n. 闪耀；火花；活力
vt. 使闪耀；使发光
vi. 闪耀；发泡；活跃"
authentic,adj. 真正的，真实的；可信的
erase,"vt. 抹去；擦除
vi. 被擦去，被抹掉"
bleed,"vt. 使出血；榨取
vi. 流血；渗出；悲痛"
bound,"n. 范围；跳跃
adj. 有义务的；必定的；受约束的；装有封面的
vt. 束缚；使跳跃
vi. 限制；弹起"
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
demonstrate,"vt. 证明；展示；论证
vi. 示威"
recovery,n. 恢复，复原；痊愈；重获
margin,"n. 边缘；利润，余裕；页边的空白
vt. 加边于；加旁注于"
unfortunately,adv. 不幸地
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围"
stroll,"n. 漫步；闲逛；巡回演出
vt. 散步；闲逛
vi. 散步；闲逛；巡回演出"
chamber,"n. （身体或器官内的）室，膛；房间；会所
adj. 室内的；私人的，秘密的
vt. 把…关在室内；装填（弹药等）"
survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
pessimistic,adj. 悲观的，厌世的；悲观主义的
reduction,n. 减少；下降；缩小；还原反应
flaw,"n. 瑕疵，缺点；一阵狂风；短暂的风暴；裂缝，裂纹
v. 使生裂缝，使有裂纹；使无效；使有缺陷
vi. 生裂缝；变的有缺陷"
induce,vt. 诱导；引起；引诱；感应
array,"n. 数组，阵列；排列，列阵；大批，一系列；衣服
vt. 排列，部署；打扮"
miniature,"adj. 微型的，小规模的
n. 缩图；微型画；微型图画绘画术
vt. 是…的缩影"
cripple,"n. 跛子；残废
vt. 削弱；使跛；使残废
adj. 跛的；残废的"
preach,"n. 说教
vt. 说教；讲道；鼓吹；传道；反复灌输
vi. 说教；讲道；鼓吹；宣扬"
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
proclaim,vt. 宣告，公布；声明；表明；赞扬
preclude,vt. 排除；妨碍；阻止
strive,vi. 努力；奋斗；抗争
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇"
penalty,n. 罚款，罚金；处罚
influential,"adj. 有影响的；有势力的
n. 有影响力的人物"
toss,"n. 投掷；摇荡；投掷的距离；掷币赌胜负
vt. 投掷；使…不安；突然抬起；使…上下摇动；与…掷币打赌
vi. 辗转；被乱扔；颠簸；掷钱币决定某事"
disable,vt. 使失去能力；使残废；使无资格
resent,vt. 怨恨；愤恨；厌恶
bias,"n. 偏见；偏爱；斜纹；乖离率
adj. 偏斜的
vt. 使存偏见
adv. 偏斜地"
definition,n. 定义； 清晰度；解说
sequence,"n.  序列；顺序；续发事件
vt. 按顺序排好"
inherit,"vt. 继承；遗传而得
vi. 成为继承人"
participant,"n. 参与者；关系者
adj. 参与的；有关系的"
conjunction,n. 结合； 连接词；同时发生
innumerable,adj. 无数的，数不清的
feasible,adj. 可行的；可能的；可实行的
differ,"vi. 相异；意见分歧
vt. 使…相异；使…不同"
numerical,adj. 数值的；数字的；用数字表示的（等于numeric）
courtesy,"n. 礼貌；好意；恩惠
adj. 殷勤的；被承认的；出于礼节的"
inward,"n. 内部；内脏；密友
adj. 向内的；内部的；精神的；本质上的；熟悉的
adv. 向内；内心里"
curse,"n. 诅咒；咒骂
vt. 诅咒；咒骂
vi. 诅咒；咒骂"
grind,"n. 磨；苦工作
vt. 磨碎；磨快
vi. 磨碎；折磨"
impetus,n. 动力；促进；冲力
destruction,n. 破坏，毁灭；摧毁
profile,"n. 侧面；轮廓；外形；剖面；简况
vt. 描…的轮廓；扼要描述
vi. 给出轮廓"
execute,vt. 实行；执行；处死
address,"n. 地址；演讲；致辞；说话的技巧；称呼
vt. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理"
detain,vt. 拘留；留住；耽搁
accuse,"vt. 控告，指控；谴责；归咎于
vi. 指责；控告"
gigantic,adj. 巨大的，庞大的
flap,"n. 拍打，拍打声；神经紧张； 襟翼
vt. 拍打；扔；拉下帽边；飘动
vi. 拍动；神经紧张；鼓翼而飞；（帽边等）垂下"
headquarters,n. 总部；指挥部；司令部
index,"n. 指标；指数；索引；指针
vt. 指出；编入索引中
vi. 做索引"
sake,n. 目的；利益；理由；日本米酒
glow,"n. 灼热；色彩鲜艳；兴高采烈
vi. 发热；洋溢；绚丽夺目"
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
horror,n. 惊骇；惨状；极端厌恶；令人恐怖的事物
metaphor,n. 暗喻，隐喻；比喻说法
sore,"n. 溃疡，痛处；恨事，伤心事
adj. 疼痛的，痛心的；剧烈的，极度的；恼火的，发怒的；厉害的，迫切的"
believe,"vi. 信任；料想；笃信宗教
vt. 相信；认为；信任"
satisfactory,adj. 满意的；符合要求的；赎罪的
gorgeous,adj. 华丽的，灿烂的；极好的
loyalty,n. 忠诚；忠心；忠实；忠于…感情
